Fecha,Hora,IP origen,IP destino, Prot. Capa Transporte,Puerto origen,Puerto destino,Community SNMP
Apr 14, 2022 13:27:32.591010000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.591708000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.606913000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.607504000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.622823000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.623090000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.637637000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.637858000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.653752000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.654095000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.668630000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.668890000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
Apr 14, 2022 13:27:32.684783000 EDT,192.168.1.190,192.168.1.191,User Datagram Protocol, Src Port: 59887, Dst Port: 161,public
Apr 14, 2022 13:27:32.685090000 EDT,192.168.1.191,192.168.1.190,User Datagram Protocol, Src Port: 161, Dst Port: 59887,public
