Fecha,Hora,IP origen,IP destino,Destino DNP3,Cod. Funcion DNP3
May  7, 2022 11:45:39.504847000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:45:39.545282000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:45:39.893407000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:45:39.901652000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:45:39.951504000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:45:49.903958000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:45:49.904818000 EDT,192.168.2.86,192.168.2.91,,
May  7, 2022 11:45:49.940372000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:45:49.949971000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:45:49.997594000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:45:54.860576000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:45:54.884241000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:45:54.934724000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:45:59.501924000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:45:59.506812000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:45:59.562272000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:45:59.986130000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:45:59.999892000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:46:00.044976000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:46:00.530595000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:46:00.548974000 EDT,192.168.2.86,192.168.2.91,2,
May  7, 2022 11:46:00.590588000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:46:00.591415000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:46:00.637463000 EDT,192.168.2.91,192.168.2.86,,
May  7, 2022 11:46:10.017580000 EDT,192.168.2.91,192.168.2.86,1,1
May  7, 2022 11:46:10.027152000 EDT,192.168.2.86,192.168.2.91,2,129
May  7, 2022 11:46:10.074372000 EDT,192.168.2.91,192.168.2.86,,
