Fecha,Hora,IP origen,IP destino,Job S7comm,Cod. Funcion S7comm,DB Req,Response Data
Apr  6, 2022 11:58:15.473421000 EDT,192.168.0.64,192.168.0.142,,,,
Apr  6, 2022 11:58:21.468236000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:21.930461000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:22.473062000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:22.953665000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:24.489078000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:24.969047000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:31.971880000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:32.437323000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:33.001424000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:33.449193000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:35.017781000 EDT,192.168.0.142,192.168.0.64,,,,
Apr  6, 2022 11:58:35.465575000 EDT,192.168.0.142,192.168.0.64,,,,
